I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
6083	Tsu	1929	5	26	22	39	 54.0	33	 7.0	 7.0							CANADA	BC	CANADA: QUEEN CHARLOTTE ISLANDS	  51.000	 -131.000	150								1												1				
3395	Tsu	1929	6	13	9	24	 34.0		 7.2		 7.2					10	PHILIPPINES		PHILIPPINES:  MINDANAO:  HINATUAN,EBRO	   8.500	  127.000	170								2		3										2		3		
3396	Tsu	1929	6	16	22	47	 32.0		 7.5		 7.5						NEW ZEALAND		NEW ZEALAND:  SOUTH ISLAND	 -41.750	  172.250	170	      17	1						2		3			      17	1						2		3		
3398		1929	6	27	12	47	  5.0	10	 7.8		 7.8						SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS		SOUTH SANDWICH ISLANDS	 -54.000	  -29.500	70																								
3402		1929	10	19	10	12	    	100	 7.5						 7.5		CHILE		CHILE	 -23.000	  -69.000	160																								
3403	Tsu	1929	11	18	20	32	    	18	 7.3	 7.3						6	CANADA		CANADA:  GRAND BANKS	  44.690	  -56.000	150								1					      28	1					       1.000	2				
3404		1929	12	17	10	58	    	25	 7.8						 7.8		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS	  52.500	  171.500	150																								
3409	Tsu	1930	5	5	13	45	 58.0		 7.3				7.3			9	MYANMAR (BURMA)		MYANMAR (BURMA):  PEGU, RANGOON	  17.300	   96.500	60	     500	3						3		3		3	     500	3						3		3		
3412		1930	5	6	22	34	    	30	 7.5		 7.5						IRAN		IRAN:  SALMAS	  38.100	   44.700	140	    1360	4																						
3414		1930	7	2	21	3	 42.0		 7.1		 7.1					9	BANGLADESH		BANGLADESH:  DHUBRI,ASSAM	  25.500	   90.000	60								3												3				
3431		1930	11	25	19	2	 47.0	19	 7.1		 7.1						JAPAN		JAPAN:  HONSHU:  IDU	  35.000	  139.000	30	     259	3			      1285	4		4	8099	4			     259	3			1285	4		4	8099	4		
3435		1930	12	3	18	51	 51.0		 7.3		 7.3						MYANMAR (BURMA)		MYANMAR (BURMA):  PYU	  18.200	   96.400	60	      36	1				3		2		2		2	      36	1				3		2		2		
3441		1931	1	15	1	50	    	50	 7.9						 7.9	10	MEXICO		MEXICO:  OAXACA	  16.100	  -96.800	150																								
3443		1931	1	27	20	9	    	60	 7.6						 7.6		MYANMAR (BURMA)		MYANMAR (BURMA):  KACHIN	  25.600	   96.800	60																								
3450	Tsu	1931	2	2	22	46	 51.3	35	 7.7	 7.7	 7.8					9	NEW ZEALAND		NEW ZEALAND:  HAWKE BAY	 -39.772	  176.025	170	     256	3	2	1	       400	3	      25.000	4					     256	3	2	1	400	3	      25.000	4				
6092	Tsu	1931	2	13	1	27	 16.0		 7.1		 7.1						NEW ZEALAND		NEW ZEALAND:  N	 -39.500	  177.000	170																								
3457	Tsu	1931	3	9	3	48	    	60	 7.7						 7.7		JAPAN		JAPAN:  NEAR E COAST HONSHU	  40.500	  142.500	30																								
6093	Tsu	1931	3	18	8	2	 23.0	33	 7.1		 7.1						CHILE		CENTRAL CHILE	 -32.500	  -72.000	160																								
7458	Tsu	1931	8	7	2	11	 44.2	35	 7.0	 7.0	 7.1	 6.9					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -3.417	  142.077	170																								
3470		1931	8	10	21	18	 43.0	25	 8.0	 8.0	 8.0					11	CHINA		CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  N	  47.100	   89.800	40	   10000	4						4		4			   10000	4						4		4		
3472		1931	8	27	15	27	    	60	 7.4						 7.4		PAKISTAN		PAKISTAN:  MACH,BALUCHISTAN	  29.800	   67.300	60								3																
3475		1931	9	21	2	20	    	20	 7.0						 7.0		JAPAN		JAPAN:  HONSHU	  36.100	  139.200	30	      16	1						2																
6320	Tsu	1931	9	25	5	59	 44.0		 7.4		 7.4					8	INDONESIA		SW. SUMATRA	  -5.000	  102.750	170								1												1				
3476	Tsu	1931	10	3	19	13	 20.8	35	 7.8	 7.8	 7.9						SOLOMON ISLANDS		SOLOMON ISLANDS:  SAN CRISTOBAL ISLAND	 -10.932	  161.016	170								1					      50	1						3		3		
3478		1931	10	10	0	20	  1.6	50	 7.7	 7.7	 7.8						SOLOMON ISLANDS		SOLOMON ISLANDS	  -9.968	  161.194	170																								
3480	Tsu	1931	11	2	10	2	    	60	 7.5						 7.5		JAPAN		JAPAN:  KYUSHU	  32.000	  131.500	30	       1	1							14	1			       1	1							14	1		
3487		1932	5	14	13	11	    		 7.4	 7.4	 8.3					7	INDONESIA		INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO	    .500	  126.000	170	       6	1			       115	2		3	592	3			       6	1			115	2		3	592	3		
3489		1932	5	21	10	10	    	90	 7.6						 7.6		NICARAGUA		NICARAGUA:  NEAR WEST COAST	  12.000	  -87.500	100																								
3491		1932	5	26	16	9	    	600	 7.9						 7.9		KERMADEC ISLANDS (NEW ZEALAND)		KERMADEC ISLANDS	 -25.500	  179.200	170																								
3492	Tsu	1932	6	3	10	36	 50.0	60	 8.1	 8.1	 8.2					10	MEXICO		MEXICO:  NEAR COAST OF JALISCO	  19.500	 -104.250	150	     400	3			       120	3		3		3			     400	3			120	3		3		3		
3496	Tsu	1932	6	18	10	12	 16.1	54	 7.9	 7.9	 7.8					10	MEXICO		MEXICO:  CENTRAL, COLIMA	  19.452	 -103.632	150								2												2				
3498		1932	8	14	4	39	 32.0	120	 7.0		 7.0						MYANMAR (BURMA)		MYANMAR; INDIA:  ASSAM	  26.000	   95.500	60								2												2				
3504		1932	11	2			    		 7.5						 7.5		PACIFIC OCEAN		PACIFIC OCEAN:  N	 -32.000	 -131.500	170																								
3505		1932	12	20			    		 7.2						 7.2	12	USA	NV	NEVADA:  CEDAR MOUNTAIN	  38.700	 -117.800	150																								
3507		1932	12	25	2	4	  7.0		 7.6		 7.6					10	CHINA		CHINA:  GANSU PROVINCE	  39.700	   96.700	30	     275	3			       320	3		3	1167	4			     275	3			320	3		3	1167	4		
3508	Tsu	1933	2	23	8	9	 12.0	40	 7.6		 7.6						CHILE		CHILE	 -20.000	  -71.000	160																								
3512	Tsu	1933	3	2	17	31	   .9	35	 8.4	 8.4	 8.5						JAPAN		JAPAN:  SANRIKU	  39.224	  144.622	30										3			    3022	4						4	6000	4		
3521		1933	6	24	21	54	 46.0		 7.5		 7.5					9	INDONESIA		INDONESIA:  S SUMATERA	  -5.500	  104.800	170								2												2				
3522		1933	8	25	7	50	 30.0		 7.5		 7.5					10	CHINA		CHINA:  SICHUAN PROVINCE	  31.900	  103.400	30	    9300	4						4		4			    9300	4						4		4		
3528	Tsu	1934	1	15	8	43	 25.0	35	 8.0	 8.0	 8.1	 7.8				11	NEPAL		NEPAL; INDIA:  BIHAR	  26.773	   86.762	60	   10600	4						4		4		4	   10600	4						4		4		
3530	Tsu	1934	2	14	3	59	 34.0	22	 7.9		 7.9						PHILIPPINES		PHILIPPINES:  LUZON	  17.500	  119.000	170								1												1				
3531		1934	3	5	11	46	    	60	 7.5						 7.5		NEW ZEALAND		NEW ZEALAND:  NORTH ISLAND	 -40.500	  175.500	170																								
3534	Tsu	1934	7	18	1	36	 24.0	60	 7.7		 7.7						PANAMA		PANAMA-COSTA RICA	   8.000	  -82.500	100					         4	1	        .050	1									4	1	        .050	1		2		
3536	Tsu	1934	7	18	19	40	 24.0	35	 7.8	 7.8	 8.1						SOLOMON ISLANDS		SOLOMON ISLANDS:  SANTA CRUZ ISLANDS	 -11.907	  166.731	170																								
6101	Tsu	1934	7	21	6	18	 23.3	35	 7.1	 7.1	 7.2						SOLOMON ISLANDS		SOLOMON ISLANDS; NEW CALEDONIA	 -11.139	  165.503	170																								
3537	Tsu	1934	11	30	2	5	 10.0	5	 7.0		 7.0						MEXICO		MEXICO:  JALISCO	  18.500	 -105.500	150								3												3				
3539		1934	12	31			    		 7.1						 7.1	10	USA	CA	CALIFORNIA:  BAJA,IMPERIAL VALLEY	  31.800	 -115.500	150																								
3550	Tsu	1935	5	30	21	32	 46.0	33	 7.5		 7.5					10	PAKISTAN		PAKISTAN:  QUETTA	  29.500	   66.800	60	   60000	4					      25.000	4		4		4	   60000	4					      25.000	4		4		
3558		1935	9	11	14	4	    	55	 7.6						 7.6		RUSSIA		RUSSIA:  KURIL ISLANDS	  43.000	  146.500	50																								
3559	Tsu	1935	9	20	1	46	 43.5	30	 7.8	 7.8	 7.9	 7.6					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  N-CENTRAL	  -3.824	  141.416	170																								
3565		1935	12	15	7	7	    	60	 7.6						 7.6		SOLOMON ISLANDS		SOLOMON ISLANDS	  -9.800	  161.000	170																								
3567	Tsu	1935	12	28	2	35	 22.0	33	 7.9		 7.9					8	INDONESIA		INDONESIA:  N SUMATERA:  BATU I,PADANG,SIBOLGA	       	   98.250	170						1		2		2								1		2		2		
3568		1936	1	9	9	23	    		 7.0						 7.0		COLOMBIA		COLOMBIA	   1.100	  -77.600	160	     250	3						2																
3572	Tsu	1936	4	1	2	9	 15.0	60	 7.7		 7.7					9	INDONESIA		INDONESIA:  TALAUD ISLANDS	   4.500	  126.500	170					         3	1		2	169	3							3	1		2	169	3		
3574		1936	6	30	15	6	    	20	 7.2						 7.2	10	RUSSIA		RUSSIA:  KOMANDORSKY ISLAND	  55.000	  165.000	50																								
6107	Tsu	1936	7	13	11	12	 15.0	60	 7.3		 7.3						CHILE		CHILE:  TALTAL	 -24.500	  -70.000	160	       1	1			        40	1		2		3			       1	1			40	1		2		3		
3581		1936	8	22	6	51	 35.0		 7.2		 7.2						TAIWAN		TAIWAN	  22.300	  120.800	30	      10	1			        10	1		1	15	1							10	1		1	15	1		
3582	Tsu	1936	8	23	21	12	 13.0		 7.3		 7.3					8	INDONESIA		INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE	   6.100	   94.700	60	       9	1			        20	1		2					       9	1			20	1		2				
3585	Tsu	1936	11	13	12	31			 7.3						 7.3	10	RUSSIA		RUSSIA:  NEAR KAMCHATKA	  55.200	  164.000	50								1												1				
3589		1937	1	7	13	20	 41.0	60	 7.5		 7.5					10	CHINA		CHINA:  QINGHAI PROVINCE	  35.500	   97.600	30								1												1				
3592		1937	2	21	7	2	    	45	 7.6						 7.6		RUSSIA		RUSSIA:  KURIL ISLANDS	  44.500	  149.400	50								1																
3594		1937	4	16	3	1	 37.0	400	 8.1		 8.1						FIJI		FIJI ISLANDS	 -21.500	 -177.000	170																								
3595		1937	7	26	3	48	    		 7.7						 7.7		MEXICO		MEXICO:  CENTRAL, PUEBLA:  ESPERANZA, VERACRUZ	  18.800	  -97.500	150	      34	1						2																
3596		1937	7	31	20	35	 48.0		 7.0		 7.0					9	CHINA		CHINA:  SHANDONG PROVINCE	  35.400	  115.100	30	     390	3				3		4		4			     390	3				3		4		4		
3598	Tsu	1937	8	20	11	59	 16.0	60	 7.5		 7.5					8	PHILIPPINES		PHILIPPINES:  LUZON	  14.500	  121.500	170	       1	1			       200	3		3		3		3	       1	1			200	3		3		3		
3600		1937	9	27	8	55	 10.0	70	 7.2						 7.2	9	INDONESIA		INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN	  -9.400	  110.200	170	       1	1						3	326	3	2200	4	       1	1						3	326	3	2200	4
3602		1937	11	14	10	58	 12.0	240	 7.2		 7.2					7	AFGHANISTAN		AFGHANISTAN:  HINDU KUSH	  36.500	   70.500	40								3												3				
8011		1937	12	8	8	32	 11.0		 7.0		 7.0						TAIWAN		TAIWAN:  TAIDONG	  22.900	  121.200	30					         1	1		1	5	1							1	1		1	5	1		
3603		1937	12	23	13	17	    	60	 7.5						 7.5		MEXICO		MEXICO:  GUERRERO:  OMETEPEC	  16.700	  -98.500	150	       4	1																						
3609	Tsu	1938	2	1	19	4	 18.0	25	 8.5	 8.5	 8.2						INDONESIA		INDONESIA:  NEW GUINEA	  -5.250	  130.500	170																				2	24	1	8	1
3617	Tsu	1938	5	12	15	38	 57.0		 7.5		 7.5						PAPUA NEW GUINEA		PAPUA NEW GUINEA	  -6.000	  147.800	170								1		1		1								1		1		1
3619	Tsu	1938	5	19	17	8	 21.0		 7.6		 7.6					9	INDONESIA		INDONESIA:  SULAWESI ISLAND	  -1.000	  120.000	170								3	942	3	184	3	      17	1						3	942	3	184	3
3621	Tsu	1938	6	10	9	53	 44.6	35	 7.6	 7.6	 7.7						JAPAN		JAPAN:  SW RYUKYU ISLANDS	  25.208	  125.115	30																				1				
3626	Tsu	1938	11	5	8	43	 21.0	30	 7.7		 7.7						JAPAN		JAPAN:  NEAR E COAST HONSHU	  37.100	  141.700	30	       1	1						1	20	1			       1	1						1	20	1		
3627	Tsu	1938	11	5	10	50	 15.0	30	 7.6		 7.6						JAPAN		JAPAN:  NEAR E COAST HONSHU	  37.200	  141.700	30																								
3628	Tsu	1938	11	6	8	53	 53.0	0	 7.5		 7.5						JAPAN		JAPAN:  OFF EAST COAST HONSHU	  37.500	  142.200	30																								
9844	Tsu	1938	11	6	21	38	 47.0	0	 7.1		 7.1						JAPAN		JAPAN:  NEAR E COAST HONSHU	  37.000	  141.700	30																								
3629	Tsu	1938	11	10	20	18	 41.2	25	 8.2	 8.2	 8.3	 8.2				6	USA	AK	ALASKA	  55.480	 -158.370	150																								
8012		1938	12	6	23	0	 51.0		 7.0		 7.0						TAIWAN		TAIWAN	  22.900	  121.500	30								1	13	1										1	13	1		
3632	Tsu	1939	1	25	3	32	 14.0	60	 8.3		 8.3					10	CHILE		CHILE:  CHILLAN	 -36.250	  -72.250	160	   30000	4					     920.000	4		4			   30000	4					     920.000	4		4		
3635	Tsu	1939	1	30	2	18	 30.0	35	 7.7	 7.7	 7.8						PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND	  -7.080	  155.386	170	       5	1				3		2		3			       5	1				3		2		3		
6340	Tsu	1939	4	18	6	22	 45.0	100	 7.4		 7.4						CHILE		CHILE:  NORTH CENTRAL	 -27.000	  -70.500	160																								
3637	Tsu	1939	4	30	2	55	 29.1	35	 7.9	 7.9	 7.9						SOLOMON ISLANDS		SOLOMON ISLANDS	  -9.295	  159.234	170								2		2			      12	1						2		2		
3639	Tsu	1939	5	1	5	58			 7.0		 7.0						JAPAN		JAPAN:  HONSHU:  NW	  40.100	  139.500	30	      27	1			        52	2		2	479	3			      27	1			52	2		2	479	3		
3651	Tsu	1939	12	21	21	0	 40.0	150	 8.0		 8.0						INDONESIA		INDONESIA:  CENTRTAL SULAWESI:  KALO,LUWUK,SULA I	       	  123.000	170								2		3										2		3		
6510	Tsu	1939	12	26	23	57	 22.6	35	 7.7	 7.7	 7.8					12	TURKEY		TURKEY:  ERZINCAN	  39.770	   39.533	140	   32700	4					      20.000	3		4			   32700	4					      20.000	3		4		
3662		1940	5	19	4	36	 40.9	16	 7.2		 7.2	 6.9	6.4			10	USA	CA	CALIFORNIA; MEXICO	  32.733	 -115.500	150	       9	1					      33.000	4					       9	1					      33.000	4				
3666	Tsu	1940	5	24	16	33	 57.0	60	 8.2	 8.2	 8.4					10	PERU		PERU	 -10.500	  -77.000	160	     179	3			      3500	4		3		3			     179	3			3500	4		3		3		
3669		1940	7	14	5	52	 53.5	65	 7.4			 7.4					USA	AK	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	  52.000	  178.200	150																								
6343	Tsu	1940	8	1	15	8	 24.0	10	 7.5		 7.5					9	JAPAN		JAPAN:  W. HOKKAIDO ISLAND	  44.200	  139.500	30								1					      10	1						2	20	1		
6323	Tsu	1940	10	4	7	54	 42.0	75	 7.3		 7.3						CHILE		CHILE:  NORTHERN	 -22.000	  -71.000	160																								
6344	Tsu	1940	10	11	18	41	 13.0	33	 7.0		 7.0						CHILE		CHILE:  S	 -41.500	  -74.500	160																								
3673		1940	11	10	1	39	    	150	 7.3						 7.3	10	ROMANIA		ROMANIA	  45.800	   26.800	110	    1000	3					      10.000	3																
6345	Tsu	1941	1	13	16	27	 44.7	15	 7.4	 7.4	 7.0	 7.0					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -4.175	  152.071	170	       4	1						2	1	1		3	       4	1						2	1	1		3
3678		1941	4	15	19	9	    	60	 7.9						 7.9	7	MEXICO		MEXICO:  MICHOACAN, COLIMA, JALISCO	  18.900	 -102.900	150																								
8016		1941	5	16	7	14	 32.0		 7.0		 7.0					9	CHINA		CHINA:  YUNNAN PROVINCE	  23.600	   99.400	30		1						2		3				1						2		3		
3681	Tsu	1941	6	26	11	52		55	 7.6	 7.6	 8.1						INDIA		INDIA:  ANDAMAN ISLANDS,MADRAS; SRI LANKA:  COLOMBO	  12.500	   92.500	60		1				1		4		4		4		1				1		4		4		
3688	Tsu	1941	11	18	16	46		10	 7.4		 7.4						JAPAN		JAPAN:  SHIKOKU	  32.000	  132.100	30								1					       2	1						1	27	1		
3690	Tsu	1941	11	25	18	3	 55.0		 8.3		 8.3					9	ATLANTIC OCEAN		ATLANTIC OCEAN:  NORTHERN	  37.417	  -18.983	70																								
3691	Tsu	1941	12	5	20	46	 58.0		 7.6		 7.6					4	COSTA RICA		COSTA RICA-PANAMA	   8.700	  -83.200	100	       6	1				3		2		3			       6	1				3		2		3		
3693		1941	12	16	19	19	 42.0		 7.1						 7.1		TAIWAN		TAIWAN	  23.300	  120.300	30	     319	3						2	1768	4			     319	3						2	1768	4		
3695		1941	12	26	14	48	  9.0		 7.0		 7.0					8	CHINA		CHINA:  YUNNAN PROVINCE	  22.700	   99.900	30		2						1		2				2						1		2		
3697		1942	4	8	15	40	    	25	 7.8						 7.8		PHILIPPINES		PHILIPPINES:  MINDORO	  13.500	  121.000	170																								
3699		1942	5	14	2	13	    	30	 7.9		 7.9	 7.7				9	ECUADOR		ECUADOR:  GUAYAQUIL	   -.750	  -81.500	160	     200	3					       2.500	2		3			     200	3					       2.500	2		3		
3705		1942	5	28	1	1	 48.0	120	 7.5		 7.5						INDONESIA		INDONESIA:  MINAHASSA PENINSULA	       	  124.000	170																								
3708		1942	8	6	23	36	 59.0	50	 7.9		 7.9	 7.7					GUATEMALA		GUATEMALA:  NEAR S COAST	  14.000	  -91.000	100																								
3710	Tsu	1942	8	24	22	50	 27.0	60	 8.2	 8.2	 8.6					9	PERU		PERU:  ICA, NAZCA	 -15.000	  -76.000	160	      30	1			        25	1		3		3			      30	1			25	1		3		3		
3716		1942	11	10	11	41	 27.0	25	 7.9		 7.9						SOUTH AFRICA		SOUTH AFRICA:  PRINCE EDWARD ISLAND	 -49.500	   32.000	60																								
3725		1942	12	20	14	3	    		 7.3		 7.3					10	TURKEY		TURKEY:  NIKSAR, ERBAA	  40.900	   36.500	140	    1000	3						4																
3737		1943	2	22	9	20	    	60	 7.5						 7.5	7	MEXICO		MEXICO:  GUERRERO: PARICUTIN VOLCANO FORMS	  16.700	 -101.500	150	      11	1						3																
3740	Tsu	1943	4	6	16	7	 15.0	35	 8.2	 8.2	 7.9	 7.6					CHILE		CHILE:  ILLAPEL	 -30.750	  -72.000	160	      11	1						1		1			      11	1						1		1		
3744		1943	5	25	23	7	 36.0	33	 8.1		 8.1						PHILIPPINES		PHILIPPINES:  E OF	   7.500	  128.000	170																								
3745		1943	6	9	3	6	 22.0	50	 7.6		 7.6						INDONESIA		INDONESIA:  S SUMATERA	  -1.000	  101.000	170																								
3749		1943	7	23	14	53	  9.0	90	 8.1		 8.1					8	INDONESIA		INDONESIA:   JAVA:  JOGYAKARTA	  -9.500	  110.000	170	     213	3			      2096	4		3			2800	4	     213	3			2096	4		3			2800	4
3751		1943	7	29	3	2	    		 7.8						 7.8		USA TERRITORY	PR	PUERTO RICO:  SAN JUAN	  19.300	  -67.500	90																								
3752		1943	9	6	3	41	    	25	 7.9						 7.9		AUSTRALIA	TAS	AUSTRALIA:  MACQUARIE ISLAND	 -53.000	  159.000	170																								
3755		1943	9	10	8	37		10	 7.4						 7.4		JAPAN		JAPAN:  HONSHU:  S	  35.300	  133.900	30	    1400	4						4	7739	4			    1400	4						4	7739	4		
3758		1943	9	14	2	1	    	50	 7.5						 7.5		NEW CALEDONIA		NEW CALEDONIA:  LOYALTY ISLANDS	 -22.000	  171.000	170																								
3759		1943	9	14	7	18	    	60	 7.6						 7.6		KERMADEC ISLANDS (NEW ZEALAND)		KERMADEC ISLANDS:  S OF	 -30.000	 -177.000	170																								
3761		1943	10	23			    		 7.2						 7.2		MYANMAR (BURMA)		MYANMAR (BURMA)	  21.500	   93.500	60								2																
3762		1943	11	6	8	31	 37.0	60	 7.6		 7.6						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ARU ISLANDS	  -6.000	  134.500	170																								
3764		1943	11	26	22	20	 36.0	33	 7.6		 7.6					11	TURKEY		TURKEY:  LADIK, SAMSUN, HAVZA	  41.000	   33.700	140	    4020	4			      5000	4		4	40000	4			    4020	4			5000	4		4	40000	4		
3768		1943	11	28	17	11	    	350	 7.6						 7.6		RUSSIA		RUSSIA:  KAMCHATKA	  54.900	  156.800	50								1																
3770		1944	1	15	23	49	    	50	 7.8						 7.8		ARGENTINA		ARGENTINA:  SAN JUAN PROVINCE	 -31.500	  -68.500	160	    8000	4					     100.000	4																
3774		1944	2	1	3	23	    	33	 7.4		 7.4					10	TURKEY		TURKEY	  41.400	   32.700	140	    2381	4						3																
8018		1944	3	9	22	12	 58.0		 7.2		 7.2						CHINA		CHINA:  XINJIANG PROVINCE	  44.000	   84.000	40	       3	1						1		2			       3	1						1		2		
3777		1944	3	22	0	43	 18.0	220	 7.5		 7.5						INDONESIA		INDONESIA:  FLORES	  -8.500	  123.500	170																								
3779		1944	5	25	12	58	    	60	 7.5						 7.5		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW IRELAND	  -2.500	  152.800	170																								
8019		1944	9	27	16	25	  7.0		 7.0		 7.0						CHINA		CHINA:  XINJIANG	  39.100	   75.000	40								1		2										1		2		
3787		1944	10	5	17	28	    	120	 7.5						 7.5		NEW CALEDONIA		NEW CALEDONIA:  LOYALTY ISLANDS	 -22.500	  172.000	170																								
3790		1944	11	24	4	49	    	170	 7.5						 7.5		VANUATU		VANUATU ISLANDS	 -19.000	  169.000	170																								
3791	Tsu	1944	12	7	4	35		30	 8.1	 8.1	 8.0						JAPAN		JAPAN:  OFF SOUTHEAST COAST KII PENINSULA	  34.000	  137.100	30	    1223	4			      2135	4		3	26146	4			    1223	4			2135	4		3	29205	4	46950	4
3797	Tsu	1945	1	12	18	38			 7.1		 7.1						JAPAN		JAPAN:  HONSHU:  S	  34.700	  137.200	30	    2306	4			       896	3		4	7221	4			    2306	4			896	3		4	7221	4		
3811	Tsu	1945	11	27	21	56	 50.0	15	 8.0	 8.0	 8.0	 7.7				10	PAKISTAN		PAKISTAN:  MAKRAN COAST	  24.500	   63.000	60	    4000	4					      25.000	4					    4000	4					      25.000	4				
3816		1945	12	28	17	48	    	60	 7.8						 7.8		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN	  -6.000	  150.000	170																								
3822	Tsu	1946	4	1	12	29	  1.3	15	 8.6	 8.6	 7.3					6	USA	AK	ALASKA:  UNIMAK ISLAND	  53.492	 -162.832	150													     167	3					      26.046	4		3		
6349	Tsu	1946	6	23	17	13	 19.0		 7.3						 7.3		CANADA	BC	BRITISH COLUMBIA	  49.870	 -124.920	150								1												1				
3827	Tsu	1946	8	2	19	18	 48.0	60	 7.9		 7.9						CHILE		CHILE:  NORTHERN	 -26.500	  -70.500	160	       2	1						3					       2	1						3				
3828	Tsu	1946	8	4	17	51	  5.0	15	 7.9	 7.9	 8.0						DOMINICAN REPUBLIC		DOMINICAN REPUBLIC:  NORTHEASTERN COAST	  19.250	  -69.000	90		1						1		1			    1790	4						3		3		
3831	Tsu	1946	8	8	13	28	 33.8	15	 7.5	 7.5	 7.6						DOMINICAN REPUBLIC		DOMINICAN REPUBLIC:  NORTHEASTERN COAST	  19.500	  -69.500	90													      75	2										
3832		1946	9	12	15	17	 17.0	60	 7.5		 7.5						MYANMAR (BURMA)		MYANMAR (BURMA)	  23.900	   96.200	60																								
3833		1946	9	12	15	20	 23.0	60	 7.8		 7.8						MYANMAR (BURMA)		MYANMAR (BURMA)	  23.900	   96.200	60																								
3834		1946	9	29	3	1	    	60	 7.7						 7.7		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW IRELAND	  -4.500	  153.500	170																								
6351	Tsu	1946	9	30	0	59	 40.0	70	 7.0		 7.0					7	PERU		PERU:  PISCO	 -14.000	  -76.250	160								2				3								2				3
3835		1946	11	2	18	28	    	35	 7.6						 7.6	10	KYRGYZSTAN		KYRGYZSTAN	  41.500	   72.500	40								2																
3837		1946	11	4	21	47	    	26	 7.5						 7.5		TURKMENISTAN		TURKMENISTAN	  39.300	   55.400	40	     400	3						3																
3839		1946	11	10	17	42	    	12	 7.3						 7.3	11	PERU		PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA	  -8.500	  -77.500	160	     800	3						3																
3845	Tsu	1946	12	20	19	19	  5.0	20	 8.1	 8.1	 8.1						JAPAN		JAPAN:  HONSHU:  S COAST	  33.000	  135.600	30	    1362	4						4	14259	4			    1362	4						4	11661	4		
3851		1947	3	17	8	19	 41.0		 7.7		 7.7						CHINA		CHINA:  QINGHAI PROVINCE	  33.300	   99.500	30																								
6353	Tsu	1947	3	25	20	32	 15.0	12	 7.1	 7.1	 7.2		5.9			4	NEW ZEALAND		NEW ZEALAND:  OFF COAST NORTH ISLAND	 -38.850	  178.870	170								1		1										1		1		
3853		1947	5	6	20	30	 32.0	33	 7.3	 7.3	 7.5	 7.2					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN	  -6.500	  148.500	170																								
3857		1947	7	29	13	43	 22.0	60	 7.9		 7.9						INDIA		INDIA-CHINA	  28.500	   94.000	60																								
3858		1947	8	5	14	24	 10.0		 7.6		 7.6						PAKISTAN		PAKISTAN:  GWADAR	  25.500	   63.000	60																								
3866		1947	11	1	14	58	    	100	 7.3						 7.3	10	PERU		PERU:  SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC	 -10.500	  -75.000	160	     233	3						3																
6355	Tsu	1947	11	4	0	9	 10.0	33	 7.0		 7.0						JAPAN		W. HOKKAIDO ISLAND, JAPAN	  43.800	  141.000	30																				1				
3869	Tsu	1948	1	24	17	46	 40.0	33	 8.3		 8.3					9	PHILIPPINES		PHILIPPINES:  PANAY, ILOILO CITY, ANTIQUE	  10.500	  122.000	170	      72	2					       3.500	2		3		3	      74	2					       3.500	2		3		3
